make,model,price,mpg,rep78,rep77,hdroom,rseat,trunk,weight,length,turn,displ,gratio,order,foreign,wgtd,wgtf
AMC,Concord,4099,22,Average,Fair,2.5,27.5,11,2930,186,40,121,3.5799999,1,Domestic,2930,
AMC,Pacer,4749,17,Average,Poor,3,25.5,11,3350,173,40,258,2.53,2,Domestic,3350,
AMC,Spirit,3799,22,,,3,18.5,12,2640,168,35,121,3.0799999,3,Domestic,2640,
Audi,Fox,6295,23,Average,Average,2.5,28,11,2070,174,36,97,3.7,5,Foreign,,2070
Audi,5000,9690,17,Excellent,Fair,3,27,15,2830,189,37,131,3.2,4,Foreign,,2830
BMW,320,9735,25,Good,Good,2.5,26,12,2650,177,34,121,3.6400001,6,Foreign,,2650
Buick,Century,4816,20,Average,Average,4.5,29,16,3250,196,40,196,2.9300001,7,Domestic,3250,
Buick,Electra,7827,15,Good,Good,4,31.5,20,4080,222,43,350,2.4100001,8,Domestic,4080,
Buick,LeSabre,5788,18,Average,Good,4,30.5,21,3670,218,43,231,2.73,9,Domestic,3670,
Buick,Opel,4453,26,,,3,24,10,2230,170,34,304,2.8699999,10,Domestic,2230,
Buick,Regal,5189,20,Average,Average,2,28.5,16,3280,200,42,196,2.9300001,11,Domestic,3280,
Buick,Riviera,10372,16,Average,Good,3.5,30,17,3880,207,43,231,2.9300001,12,Domestic,3880,
Buick,Skylark,4082,19,Average,Average,3.5,27,13,3400,200,42,231,3.0799999,13,Domestic,3400,
Cad.,Deville,11385,14,Average,Average,4,31.5,20,4330,221,44,425,2.28,14,Domestic,4330,
Cad.,Eldrado,14500,14,Fair,Fair,3.5,30,16,3900,204,43,350,2.1900001,15,Domestic,3900,
Cad.,Seville,15906,21,Average,Average,3,30,13,4290,204,45,350,2.24,16,Domestic,4290,
Chev.,Chevette,3299,29,Average,Average,2.5,26,9,2110,163,34,231,2.9300001,17,Domestic,2110,
Chev.,Impala,5705,16,Good,Good,4,29.5,20,3690,212,43,250,2.5599999,18,Domestic,3690,
Chev.,Malibu,4504,22,Average,Average,3.5,28.5,17,3180,193,31,200,2.73,19,Domestic,3180,
Chev.,MCarlo,5104,22,Fair,Average,2,28.5,16,3220,200,41,200,2.73,20,Domestic,3220,
Chev.,Monza,3667,24,Fair,Fair,2,25,7,2750,179,40,151,2.73,21,Domestic,2750,
Chev.,Nova,3955,19,Average,Average,3.5,27,13,3430,197,43,250,2.5599999,22,Domestic,3430,
Datsun,200,6229,23,Good,Average,1.5,21,6,2370,170,35,119,3.8900001,23,Foreign,,2370
Datsun,210,4589,35,Excellent,Excellent,2,23.5,8,2020,165,32,85,3.7,24,Foreign,,2020
Datsun,510,5079,24,Good,Good,2.5,22,8,2280,170,34,119,3.54,25,Foreign,,2280
Datsun,810,8129,21,Good,Good,2.5,27,8,2750,184,38,146,3.55,26,Foreign,,2750
Dodge,Colt,3984,30,Excellent,Good,2,24,8,2120,163,35,98,3.54,27,Domestic,2120,
Dodge,Diplomat,4010,18,Fair,Fair,4,29,17,3600,206,46,318,2.47,28,Domestic,3600,
Dodge,Magnum,5886,16,Fair,Fair,4,29,17,3600,206,46,318,2.47,29,Domestic,3600,
Dodge,StRegis,6342,17,Fair,Fair,4.5,28,21,3740,220,46,225,2.9400001,30,Domestic,3740,
